factkey,datekey,accountkey,companykey,cost_center_id,actual,budget
2022013110270050,20220131,21,GMR0001,102,325342.21,325600.0
2022013110270060,20220131,22,GMR0001,102,340582.62,325600.0
2022013110270070,20220131,23,GMR0001,102,310030.28,325600.0
2022013110270080,20220131,24,GMR0001,102,330840.51,325600.0
2022013110270090,20220131,25,GMR0001,102,303936.45,325600.0
2022013110270100,20220131,26,GMR0001,102,315889.44,325600.0
2022013110270110,20220131,27,GMR0001,102,315298.19,325600.0
2022013110270120,20220131,28,GMR0001,102,312332.53,325600.0
2022013110270130,20220131,29,GMR0001,102,292574.88,325600.0
2022013110270140,20220131,30,GMR0001,102,314764.36,325600.0
2022013110280010,20220131,31,GMR0001,102,89638.26,81400.0
2022013110280020,20220131,32,GMR0001,102,82976.58,81400.0
2022013110280030,20220131,33,GMR0001,102,83854.6,81400.0
2022013110280040,20220131,34,GMR0001,102,82173.89,81400.0
2022013110290010,20220131,35,GMR0001,102,62666.09,81400.0
2022013110350010,20220131,1,GMR0001,103,1598291.35,1617000.0
2022013110350020,20220131,2,GMR0001,103,1534944.83,1617000.0
2022013110350030,20220131,3,GMR0001,103,1520691.73,1617000.0
2022013110350040,20220131,4,GMR0001,103,1682142.67,1617000.0
2022013110350050,20220131,5,GMR0001,103,1485357.77,1617000.0
2022013110350060,20220131,6,GMR0001,103,1716015.48,1617000.0
2022013110350070,20220131,7,GMR0001,103,1680827.51,1617000.0
2022013110350080,20220131,8,GMR0001,103,1640009.34,1617000.0
2022013110350090,20220131,9,GMR0001,103,1544881.74,1617000.0
2022013110350100,20220131,10,GMR0001,103,1725692.41,1617000.0
2022013110360010,20220131,11,GMR0001,103,1102742.37,1131900.0
2022013110360020,20220131,12,GMR0001,103,1165378.42,1131900.0
2022013110360030,20220131,13,GMR0001,103,1128462.05,1131900.0
2022013110360040,20220131,14,GMR0001,103,1128300.36,1131900.0
2022013110360050,20220131,15,GMR0001,103,1134176.43,1131900.0
2022013110360060,20220131,16,GMR0001,103,1135729.39,1131900.0
2022013110370010,20220131,17,GMR0001,103,306457.27,323400.0
2022013110370020,20220131,18,GMR0001,103,365199.16,323400.0
2022013110370030,20220131,19,GMR0001,103,265381.47,323400.0
2022013110370040,20220131,20,GMR0001,103,342967.15,323400.0
2022013110370050,20220131,21,GMR0001,103,301944.1,323400.0
2022013110370060,20220131,22,GMR0001,103,351816.07,323400.0
2022013110370070,20220131,23,GMR0001,103,289630.74,323400.0
2022013110370080,20220131,24,GMR0001,103,361466.69,323400.0
2022013110370090,20220131,25,GMR0001,103,362127.54,323400.0
2022013110370100,20220131,26,GMR0001,103,306154.43,323400.0
2022013110370110,20220131,27,GMR0001,103,298780.33,323400.0
2022013110370120,20220131,28,GMR0001,103,329879.84,323400.0
2022013110370130,20220131,29,GMR0001,103,301874.34,323400.0
2022013110370140,20220131,30,GMR0001,103,314554.06,323400.0
2022013110380010,20220131,31,GMR0001,103,79855.57,80850.0
2022013110380020,20220131,32,GMR0001,103,86225.42,80850.0
2022013110380030,20220131,33,GMR0001,103,91141.53,80850.0
2022013110380040,20220131,34,GMR0001,103,70924.38,80850.0
2022013110390010,20220131,35,GMR0001,103,76354.19,80850.0
2022013110450010,20220131,1,GMR0001,104,1680907.4,1606000.0
2022013110450020,20220131,2,GMR0001,104,1452795.83,1606000.0
2022013110450030,20220131,3,GMR0001,104,1656240.95,1606000.0
2022013110450040,20220131,4,GMR0001,104,1590911.65,1606000.0
2022013110450050,20220131,5,GMR0001,104,1557968.1,1606000.0
2022013110450060,20220131,6,GMR0001,104,1609066.78,1606000.0
2022013110450070,20220131,7,GMR0001,104,1526597.75,1606000.0
2022013110450080,20220131,8,GMR0001,104,1700384.89,1606000.0
2022013110450090,20220131,9,GMR0001,104,1525876.5,1606000.0
2022013110450100,20220131,10,GMR0001,104,1603585.24,1606000.0
2022013110460010,20220131,11,GMR0001,104,1125875.23,1124200.0
2022013110460020,20220131,12,GMR0001,104,1120033.02,1124200.0
2022013110460030,20220131,13,GMR0001,104,1125865.06,1124200.0
2022013110460040,20220131,14,GMR0001,104,1157241.54,1124200.0
2022013110460050,20220131,15,GMR0001,104,1128904.7,1124200.0
2022013110460060,20220131,16,GMR0001,104,1179631.12,1124200.0
2022013110470010,20220131,17,GMR0001,104,315397.11,321200.0
2022013110470020,20220131,18,GMR0001,104,324375.16,321200.0
2022013110470030,20220131,19,GMR0001,104,315660.9,321200.0
2022013110470040,20220131,20,GMR0001,104,328160.25,321200.0
2022013110470050,20220131,21,GMR0001,104,326382.56,321200.0
2022013110470060,20220131,22,GMR0001,104,277172.09,321200.0
2022013110470070,20220131,23,GMR0001,104,337217.98,321200.0
2022013110470080,20220131,24,GMR0001,104,268295.99,321200.0
2022013110470090,20220131,25,GMR0001,104,360436.82,321200.0
2022013110470100,20220131,26,GMR0001,104,312465.48,321200.0
2022013110470110,20220131,27,GMR0001,104,334452.95,321200.0
2022013110470120,20220131,28,GMR0001,104,366824.59,321200.0
2022013110470130,20220131,29,GMR0001,104,383152.41,321200.0
2022013110470140,20220131,30,GMR0001,104,325424.93,321200.0
2022013110480010,20220131,31,GMR0001,104,73946.41,80300.0
2022013110480020,20220131,32,GMR0001,104,87385.56,80300.0
2022013110480030,20220131,33,GMR0001,104,71003.25,80300.0
2022013110480040,20220131,34,GMR0001,104,75879.33,80300.0
2022013110490010,20220131,35,GMR0001,104,65422.64,80300.0
2022013110550010,20220131,1,GMR0001,105,1592385.21,1595000.0
2022013110550020,20220131,2,GMR0001,105,1583213.88,1595000.0
2022013110550030,20220131,3,GMR0001,105,1732472.54,1595000.0
2022013110550040,20220131,4,GMR0001,105,1426514.99,1595000.0
2022013110550050,20220131,5,GMR0001,105,1492762.55,1595000.0
2022013110550060,20220131,6,GMR0001,105,1683712.58,1595000.0
2022013110550070,20220131,7,GMR0001,105,1506362.76,1595000.0
2022013110550080,20220131,8,GMR0001,105,1541831.8,1595000.0
2022013110550090,20220131,9,GMR0001,105,1496974.57,1595000.0
2022013110550100,20220131,10,GMR0001,105,1641291.69,1595000.0
2022013110560010,20220131,11,GMR0001,105,1067444.85,1116500.0
2022013110560020,20220131,12,GMR0001,105,1120911.34,1116500.0
2022013110560030,20220131,13,GMR0001,105,1095207.4,1116500.0
2022013110560040,20220131,14,GMR0001,105,1136109.72,1116500.0
2022013110560050,20220131,15,GMR0001,105,1173243.53,1116500.0
2022013110560060,20220131,16,GMR0001,105,1091463.3,1116500.0
2022013110570010,20220131,17,GMR0001,105,342808.84,319000.0
2022013110570020,20220131,18,GMR0001,105,356320.3,319000.0
2022013110570030,20220131,19,GMR0001,105,320247.24,319000.0
2022013110570040,20220131,20,GMR0001,105,325549.94,319000.0
2022013110570050,20220131,21,GMR0001,105,333561.85,319000.0
2022013110570060,20220131,22,GMR0001,105,342493.28,319000.0
2022013110570070,20220131,23,GMR0001,105,296308.76,319000.0
2022013110570080,20220131,24,GMR0001,105,303971.42,319000.0
2022013110570090,20220131,25,GMR0001,105,335228.61,319000.0
2022013110570100,20220131,26,GMR0001,105,281270.44,319000.0
2022013110570110,20220131,27,GMR0001,105,322667.85,319000.0
2022013110570120,20220131,28,GMR0001,105,334667.45,319000.0
2022013110570130,20220131,29,GMR0001,105,352108.47,319000.0
2022013110570140,20220131,30,GMR0001,105,343393.59,319000.0
2022013110580010,20220131,31,GMR0001,105,90730.06,79750.0
2022013110580020,20220131,32,GMR0001,105,78813.01,79750.0
2022013110580030,20220131,33,GMR0001,105,80844.35,79750.0
2022013110580040,20220131,34,GMR0001,105,84854.72,79750.0
2022013110590010,20220131,35,GMR0001,105,74063.72,79750.0
2022013110650010,20220131,1,GMR0001,106,1530161.91,1584000.0
2022013110650020,20220131,2,GMR0001,106,1596511.23,1584000.0
2022013110650030,20220131,3,GMR0001,106,1557625.57,1584000.0
2022013110650040,20220131,4,GMR0001,106,1702063.0,1584000.0
2022013110650050,20220131,5,GMR0001,106,1624715.46,1584000.0
2022013110650060,20220131,6,GMR0001,106,1560402.41,1584000.0
2022013110650070,20220131,7,GMR0001,106,1519977.84,1584000.0
2022013110650080,20220131,8,GMR0001,106,1587768.46,1584000.0
2022013110650090,20220131,9,GMR0001,106,1460282.72,1584000.0
2022013110650100,20220131,10,GMR0001,106,1616117.84,1584000.0
2022013110660010,20220131,11,GMR0001,106,1083852.63,1108800.0
2022013110660020,20220131,12,GMR0001,106,1114568.08,1108800.0
2022013110660030,20220131,13,GMR0001,106,1126737.88,1108800.0
2022013110660040,20220131,14,GMR0001,106,1161731.72,1108800.0
2022013110660050,20220131,15,GMR0001,106,1157647.28,1108800.0
2022013110660060,20220131,16,GMR0001,106,1143642.23,1108800.0
2022013110670010,20220131,17,GMR0001,106,300872.36,316800.0
2022013110670020,20220131,18,GMR0001,106,359425.48,316800.0
2022013110670030,20220131,19,GMR0001,106,318482.79,316800.0
2022013110670040,20220131,20,GMR0001,106,295835.45,316800.0
2022013110670050,20220131,21,GMR0001,106,353936.11,316800.0
2022013110670060,20220131,22,GMR0001,106,367590.15,316800.0
2022013110670070,20220131,23,GMR0001,106,322095.02,316800.0
2022013110670080,20220131,24,GMR0001,106,357249.5,316800.0
2022013110670090,20220131,25,GMR0001,106,289729.71,316800.0
2022013110670100,20220131,26,GMR0001,106,320905.19,316800.0
2022013110670110,20220131,27,GMR0001,106,302811.21,316800.0
2022013110670120,20220131,28,GMR0001,106,340310.53,316800.0
2022013110670130,20220131,29,GMR0001,106,308914.05,316800.0
2022013110670140,20220131,30,GMR0001,106,329385.33,316800.0
2022013110680010,20220131,31,GMR0001,106,69723.14,79200.0
2022013110680020,20220131,32,GMR0001,106,66031.0,79200.0
2022013110680030,20220131,33,GMR0001,106,84190.56,79200.0
2022013110680040,20220131,34,GMR0001,106,78270.75,79200.0
2022013110690010,20220131,35,GMR0001,106,60718.18,79200.0
2022013110750010,20220131,1,GMR0001,107,1455163.66,1573000.0
2022013110750020,20220131,2,GMR0001,107,1584580.92,1573000.0
2022013110750030,20220131,3,GMR0001,107,1669965.52,1573000.0
2022013110750040,20220131,4,GMR0001,107,1613573.15,1573000.0
2022013110750050,20220131,5,GMR0001,107,1590747.72,1573000.0
2022013110750060,20220131,6,GMR0001,107,1700033.81,1573000.0
2022013110750070,20220131,7,GMR0001,107,1524260.19,1573000.0
2022013110750080,20220131,8,GMR0001,107,1604290.55,1573000.0
2022013110750090,20220131,9,GMR0001,107,1599709.79,1573000.0
2022013110750100,20220131,10,GMR0001,107,1630052.53,1573000.0
2022013110760010,20220131,11,GMR0001,107,1075794.57,1101100.0
2022013110760020,20220131,12,GMR0001,107,1110921.64,1101100.0
2022013110760030,20220131,13,GMR0001,107,1120975.0,1101100.0
2022013110760040,20220131,14,GMR0001,107,1090484.85,1101100.0
2022013110760050,20220131,15,GMR0001,107,1154733.46,1101100.0
2022013110760060,20220131,16,GMR0001,107,1084667.6,1101100.0
2022013110770010,20220131,17,GMR0001,107,378171.61,314600.0
2022013110770020,20220131,18,GMR0001,107,312827.29,314600.0
2022013110770030,20220131,19,GMR0001,107,303864.6,314600.0
2022013110770040,20220131,20,GMR0001,107,303559.2,314600.0
2022013110770050,20220131,21,GMR0001,107,282595.85,314600.0
2022013110770060,20220131,22,GMR0001,107,298647.67,314600.0
2022013110770070,20220131,23,GMR0001,107,324497.69,314600.0
2022013110770080,20220131,24,GMR0001,107,326366.65,314600.0
2022013110770090,20220131,25,GMR0001,107,319045.12,314600.0
2022013110770100,20220131,26,GMR0001,107,325173.55,314600.0
2022013110770110,20220131,27,GMR0001,107,320037.01,314600.0
2022013110770120,20220131,28,GMR0001,107,308868.09,314600.0
2022013110770130,20220131,29,GMR0001,107,283198.82,314600.0
2022013110770140,20220131,30,GMR0001,107,283576.57,314600.0
2022013110780010,20220131,31,GMR0001,107,81657.43,78650.0
2022013110780020,20220131,32,GMR0001,107,84167.16,78650.0
2022013110780030,20220131,33,GMR0001,107,83319.13,78650.0
2022013110780040,20220131,34,GMR0001,107,73136.43,78650.0
2022013110790010,20220131,35,GMR0001,107,84853.61,78650.0
2022013110850010,20220131,1,GMR0001,108,1457441.07,1562000.0
2022013110850020,20220131,2,GMR0001,108,1423934.27,1562000.0
2022013110850030,20220131,3,GMR0001,108,1502556.37,1562000.0
2022013110850040,20220131,4,GMR0001,108,1615407.58,1562000.0
2022013110850050,20220131,5,GMR0001,108,1619054.66,1562000.0
2022013110850060,20220131,6,GMR0001,108,1563354.27,1562000.0
2022013110850070,20220131,7,GMR0001,108,1600115.98,1562000.0
2022013110850080,20220131,8,GMR0001,108,1516212.82,1562000.0
2022013110850090,20220131,9,GMR0001,108,1543831.47,1562000.0
2022013110850100,20220131,10,GMR0001,108,1635258.28,1562000.0
2022013110860010,20220131,11,GMR0001,108,1117381.99,1093400.0
2022013110860020,20220131,12,GMR0001,108,1171809.02,1093400.0
2022013110860030,20220131,13,GMR0001,108,1069697.58,1093400.0
2022013110860040,20220131,14,GMR0001,108,1093035.35,1093400.0
2022013110860050,20220131,15,GMR0001,108,1148074.21,1093400.0
2022013110860060,20220131,16,GMR0001,108,1108622.16,1093400.0
2022013110870010,20220131,17,GMR0001,108,254640.94,312400.0
2022013110870020,20220131,18,GMR0001,108,327133.02,312400.0
2022013110870030,20220131,19,GMR0001,108,376167.22,312400.0
2022013110870040,20220131,20,GMR0001,108,326326.56,312400.0
2022013110870050,20220131,21,GMR0001,108,320999.36,312400.0
2022013110870060,20220131,22,GMR0001,108,289433.25,312400.0
2022013110870070,20220131,23,GMR0001,108,333241.19,312400.0
2022013110870080,20220131,24,GMR0001,108,357484.85,312400.0
2022013110870090,20220131,25,GMR0001,108,337674.3,312400.0
2022013110870100,20220131,26,GMR0001,108,315570.9,312400.0
2022013110870110,20220131,27,GMR0001,108,310107.36,312400.0
2022013110870120,20220131,28,GMR0001,108,305218.92,312400.0
2022013110870130,20220131,29,GMR0001,108,332418.27,312400.0
2022013110870140,20220131,30,GMR0001,108,336573.94,312400.0
2022013110880010,20220131,31,GMR0001,108,81231.33,78100.0
2022013110880020,20220131,32,GMR0001,108,93765.0,78100.0
2022013110880030,20220131,33,GMR0001,108,80282.56,78100.0
2022013110880040,20220131,34,GMR0001,108,82206.08,78100.0
2022013110890010,20220131,35,GMR0001,108,86380.15,78100.0
2022013110950010,20220131,1,GMR0001,109,1591893.54,1551000.0
2022013110950020,20220131,2,GMR0001,109,1400474.31,1551000.0
2022013110950030,20220131,3,GMR0001,109,1494699.35,1551000.0
2022013110950040,20220131,4,GMR0001,109,1542103.99,1551000.0
2022013110950050,20220131,5,GMR0001,109,1644232.62,1551000.0
2022013110950060,20220131,6,GMR0001,109,1540664.97,1551000.0
2022013110950070,20220131,7,GMR0001,109,1488901.82,1551000.0
2022013110950080,20220131,8,GMR0001,109,1531710.88,1551000.0
2022013110950090,20220131,9,GMR0001,109,1490499.76,1551000.0
2022013110950100,20220131,10,GMR0001,109,1567528.9,1551000.0
2022013110960010,20220131,11,GMR0001,109,1052138.84,1085700.0
2022013110960020,20220131,12,GMR0001,109,1063227.46,1085700.0
2022013110960030,20220131,13,GMR0001,109,1088176.01,1085700.0
2022013110960040,20220131,14,GMR0001,109,1139549.67,1085700.0
2022013110960050,20220131,15,GMR0001,109,1061994.6,1085700.0
2022013110960060,20220131,16,GMR0001,109,1080412.73,1085700.0
2022013110970010,20220131,17,GMR0001,109,292320.27,310200.0
2022013110970020,20220131,18,GMR0001,109,297581.76,310200.0
2022013110970030,20220131,19,GMR0001,109,270904.04,310200.0
2022013110970040,20220131,20,GMR0001,109,309533.21,310200.0
2022013110970050,20220131,21,GMR0001,109,336064.82,310200.0
2022013110970060,20220131,22,GMR0001,109,329657.74,310200.0
2022013110970070,20220131,23,GMR0001,109,297283.51,310200.0
2022013110970080,20220131,24,GMR0001,109,278988.21,310200.0
2022013110970090,20220131,25,GMR0001,109,301362.31,310200.0
2022013110970100,20220131,26,GMR0001,109,312298.41,310200.0
2022013110970110,20220131,27,GMR0001,109,322656.79,310200.0
2022013110970120,20220131,28,GMR0001,109,302965.75,310200.0
2022013110970130,20220131,29,GMR0001,109,302011.03,310200.0
2022013110970140,20220131,30,GMR0001,109,291406.21,310200.0
2022013110980010,20220131,31,GMR0001,109,84032.36,77550.0
2022013110980020,20220131,32,GMR0001,109,68741.69,77550.0
2022013110980030,20220131,33,GMR0001,109,69663.38,77550.0
2022013110980040,20220131,34,GMR0001,109,81956.82,77550.0
2022013110990010,20220131,35,GMR0001,109,66796.9,77550.0
2022013111050010,20220131,1,GMR0001,110,1520176.01,1540000.0
2022013111050020,20220131,2,GMR0001,110,1496824.72,1540000.0
2022013111050030,20220131,3,GMR0001,110,1620107.12,1540000.0
2022013111050040,20220131,4,GMR0001,110,1441487.16,1540000.0
2022013111050050,20220131,5,GMR0001,110,1568299.63,1540000.0
2022013111050060,20220131,6,GMR0001,110,1599078.72,1540000.0
2022013111050070,20220131,7,GMR0001,110,1449707.03,1540000.0
2022013111050080,20220131,8,GMR0001,110,1505998.79,1540000.0
2022013111050090,20220131,9,GMR0001,110,1521474.22,1540000.0
2022013111050100,20220131,10,GMR0001,110,1447360.39,1540000.0
2022013111060010,20220131,11,GMR0001,110,1052139.28,1078000.0
2022013111060020,20220131,12,GMR0001,110,1060902.22,1078000.0
2022013111060030,20220131,13,GMR0001,110,1080244.74,1078000.0
2022013111060040,20220131,14,GMR0001,110,1100022.51,1078000.0
2022013111060050,20220131,15,GMR0001,110,1087731.48,1078000.0
2022013111060060,20220131,16,GMR0001,110,1087875.57,1078000.0
2022013111070010,20220131,17,GMR0001,110,313781.41,308000.0
2022013111070020,20220131,18,GMR0001,110,305565.82,308000.0
2022013111070030,20220131,19,GMR0001,110,307083.84,308000.0
2022013111070040,20220131,20,GMR0001,110,314751.1,308000.0
2022013111070050,20220131,21,GMR0001,110,306774.33,308000.0
2022013111070060,20220131,22,GMR0001,110,321540.8,308000.0
2022013111070070,20220131,23,GMR0001,110,331659.12,308000.0
2022013111070080,20220131,24,GMR0001,110,292669.07,308000.0
2022013111070090,20220131,25,GMR0001,110,288951.8,308000.0
2022013111070100,20220131,26,GMR0001,110,311636.99,308000.0
2022013111070110,20220131,27,GMR0001,110,268959.52,308000.0
2022013111070120,20220131,28,GMR0001,110,297286.15,308000.0
2022013111070130,20220131,29,GMR0001,110,301900.58,308000.0
2022013111070140,20220131,30,GMR0001,110,304981.15,308000.0
2022013111080010,20220131,31,GMR0001,110,83308.64,77000.0
2022013111080020,20220131,32,GMR0001,110,77304.09,77000.0
2022013111080030,20220131,33,GMR0001,110,69050.19,77000.0
2022013111080040,20220131,34,GMR0001,110,69209.32,77000.0
2022013111090010,20220131,35,GMR0001,110,87508.13,77000.0
2022013111150010,20220131,1,GMR0001,111,1519990.88,1529000.0
2022013111150020,20220131,2,GMR0001,111,1600826.3,1529000.0
2022013111150030,20220131,3,GMR0001,111,1544726.26,1529000.0
2022013111150040,20220131,4,GMR0001,111,1543965.05,1529000.0
2022013111150050,20220131,5,GMR0001,111,1458914.11,1529000.0
2022013111150060,20220131,6,GMR0001,111,1510377.52,1529000.0
2022013111150070,20220131,7,GMR0001,111,1406516.09,1529000.0
2022013111150080,20220131,8,GMR0001,111,1561954.39,1529000.0
2022013111150090,20220131,9,GMR0001,111,1612435.05,1529000.0
2022013111150100,20220131,10,GMR0001,111,1645322.22,1529000.0
2022013111160010,20220131,11,GMR0001,111,1031447.61,1070300.0
2022013111160020,20220131,12,GMR0001,111,1083870.5,1070300.0
2022013111160030,20220131,13,GMR0001,111,1035069.21,1070300.0
2022013111160040,20220131,14,GMR0001,111,1061079.99,1070300.0
2022013111160050,20220131,15,GMR0001,111,1053496.03,1070300.0
2022013111160060,20220131,16,GMR0001,111,1059716.94,1070300.0
2022013111170010,20220131,17,GMR0001,111,339548.37,305800.0
2022013111170020,20220131,18,GMR0001,111,298920.1,305800.0
2022013111170030,20220131,19,GMR0001,111,275912.61,305800.0
2022013111170040,20220131,20,GMR0001,111,325844.06,305800.0
2022013111170050,20220131,21,GMR0001,111,333041.97,305800.0
2022013111170060,20220131,22,GMR0001,111,325156.08,305800.0
2022013111170070,20220131,23,GMR0001,111,333358.32,305800.0
2022013111170080,20220131,24,GMR0001,111,330498.26,305800.0
2022013111170090,20220131,25,GMR0001,111,318867.03,305800.0
2022013111170100,20220131,26,GMR0001,111,334786.47,305800.0
2022013111170110,20220131,27,GMR0001,111,291893.39,305800.0
2022013111170120,20220131,28,GMR0001,111,275903.05,305800.0
2022013111170130,20220131,29,GMR0001,111,264480.5,305800.0
2022013111170140,20220131,30,GMR0001,111,314494.33,305800.0
2022013111180010,20220131,31,GMR0001,111,65374.76,76450.0
2022013111180020,20220131,32,GMR0001,111,76046.11,76450.0
2022013111180030,20220131,33,GMR0001,111,72902.92,76450.0
2022013111180040,20220131,34,GMR0001,111,83519.15,76450.0
2022013111190010,20220131,35,GMR0001,111,84214.06,76450.0
2022013111250010,20220131,1,GMR0001,112,1601872.31,1518000.0
2022013111250020,20220131,2,GMR0001,112,1594548.55,1518000.0
2022013111250030,20220131,3,GMR0001,112,1606070.34,1518000.0
2022013111250040,20220131,4,GMR0001,112,1443394.3,1518000.0
2022013111250050,20220131,5,GMR0001,112,1654521.7,1518000.0
2022013111250060,20220131,6,GMR0001,112,1383416.55,1518000.0
2022013111250070,20220131,7,GMR0001,112,1415022.56,1518000.0
2022013111250080,20220131,8,GMR0001,112,1503339.34,1518000.0
2022013111250090,20220131,9,GMR0001,112,1338753.55,1518000.0
2022013111250100,20220131,10,GMR0001,112,1604174.38,1518000.0
2022013111260010,20220131,11,GMR0001,112,1104281.94,1062600.0
2022013111260020,20220131,12,GMR0001,112,1058304.34,1062600.0
2022013111260030,20220131,13,GMR0001,112,1082218.63,1062600.0
2022013111260040,20220131,14,GMR0001,112,1054128.2,1062600.0
2022013111260050,20220131,15,GMR0001,112,1084674.7,1062600.0
2022013111260060,20220131,16,GMR0001,112,1076105.75,1062600.0
2022013111270010,20220131,17,GMR0001,112,284287.99,303600.0
2022013111270020,20220131,18,GMR0001,112,264866.26,303600.0
2022013111270030,20220131,19,GMR0001,112,287115.94,303600.0
2022013111270040,20220131,20,GMR0001,112,328732.27,303600.0
2022013111270050,20220131,21,GMR0001,112,290624.25,303600.0
2022013111270060,20220131,22,GMR0001,112,311163.59,303600.0
2022013111270070,20220131,23,GMR0001,112,284833.76,303600.0
2022013111270080,20220131,24,GMR0001,112,281716.51,303600.0
2022013111270090,20220131,25,GMR0001,112,341551.81,303600.0
2022013111270100,20220131,26,GMR0001,112,304924.29,303600.0
2022013111270110,20220131,27,GMR0001,112,328624.66,303600.0
2022013111270120,20220131,28,GMR0001,112,296532.56,303600.0
2022013111270130,20220131,29,GMR0001,112,306305.25,303600.0
2022013111270140,20220131,30,GMR0001,112,256342.22,303600.0
2022013111280010,20220131,31,GMR0001,112,79610.11,75900.0
2022013111280020,20220131,32,GMR0001,112,78947.04,75900.0
2022013111280030,20220131,33,GMR0001,112,62651.07,75900.0
2022013111280040,20220131,34,GMR0001,112,77629.27,75900.0
2022013111290010,20220131,35,GMR0001,112,68164.79,75900.0
2022013111350010,20220131,1,GMR0001,113,1539479.67,1507000.0
2022013111350020,20220131,2,GMR0001,113,1554789.59,1507000.0
2022013111350030,20220131,3,GMR0001,113,1554586.11,1507000.0
2022013111350040,20220131,4,GMR0001,113,1459345.49,1507000.0
2022013111350050,20220131,5,GMR0001,113,1487192.91,1507000.0
2022013111350060,20220131,6,GMR0001,113,1521732.32,1507000.0
2022013111350070,20220131,7,GMR0001,113,1373408.89,1507000.0
2022013111350080,20220131,8,GMR0001,113,1513612.24,1507000.0
2022013111350090,20220131,9,GMR0001,113,1494594.65,1507000.0
2022013111350100,20220131,10,GMR0001,113,1534856.51,1507000.0
2022013111360010,20220131,11,GMR0001,113,1063276.0,1054900.0
2022013111360020,20220131,12,GMR0001,113,1098211.51,1054900.0
2022013111360030,20220131,13,GMR0001,113,1087398.1,1054900.0
2022013111360040,20220131,14,GMR0001,113,1079952.06,1054900.0
2022013111360050,20220131,15,GMR0001,113,1068801.67,1054900.0
2022013111360060,20220131,16,GMR0001,113,1075351.31,1054900.0
