Closing_Period,Chart_of_Accounts,Actual,Budget
20220131,116-50060,131163.21,95000
20220131,116-50070,101405.34,114000
20220131,116-50080,77384.18,76000
20220131,116-60010,-50615.91,-48000
20220131,116-60020,-38728,-36000
20220131,116-60030,-24768.27,-24000
20220131,116-60040,-21643.32,-18000
20220131,116-60050,-16911.6,-15000
20220131,116-70010,-14168.32,-12666.67
20220131,116-70020,-9623.79,-9500
20220131,116-70030,-12572.45,-11400
20220131,116-70040,-15093.02,-13933.33
20220131,116-70050,-20514.93,-19000
20220131,116-70060,-32057.92,-31666.67
20220131,116-70070,-4903.99,-5066.67
20220131,116-70080,-7908.17,-7600
20220131,116-70090,-6463.76,-5700
20220131,116-70100,-5390.51,-4750
20220131,116-80010,-9939.66,-10000
20220131,116-80020,-13502.48,-13333.33
20220131,116-80030,-6081.4,-6666.67
20220131,116-80040,5210.63,5000
20220131,116-80050,3833.63,3333.33
20220131,116-90010,-24283.38,-26666.67
20220131,116-90020,-6736.74,-6666.67
20220131,116-90030,-3466,-3333.33
20220131,117-50010,307329.42,316666.67
20220131,117-50020,336612.07,253333.33
20220131,117-50030,177854.87,190000
20220131,117-50040,186886.17,158333.33
20220131,117-50050,139882.26,126666.67
20220131,117-50060,105424.32,95000
20220131,117-50070,108154.29,114000
20220131,117-50080,64637.7,76000
20220131,117-60010,-53652.67,-48000
20220131,117-60020,-47568.53,-36000
20220131,117-60030,-22895.99,-24000
20220131,117-60040,-18833.41,-18000
20220131,117-60050,-18619.06,-15000
20220131,117-70010,-13375.45,-12666.67
20220131,117-70020,-9475.4,-9500
20220131,117-70030,-12014.72,-11400
20220131,117-70040,-15015.63,-13933.33
20220131,117-70050,-20602.22,-19000
20220131,117-70060,-31102.67,-31666.67
20220131,117-70070,-5525.67,-5066.67
20220131,117-70080,-7918.97,-7600
20220131,117-70090,-5974.45,-5700
20220131,117-70100,-5009.22,-4750
20220131,117-80010,-9722.43,-10000
20220131,117-80020,-13274.63,-13333.33
20220131,117-80030,-6591.4,-6666.67
20220131,117-80040,4615.08,5000
20220131,117-80050,2935.66,3333.33
20220131,117-90010,-27854.39,-26666.67
20220131,117-90020,-6143.99,-6666.67
20220131,117-90030,-2955.19,-3333.33
20220131,118-50010,262241.41,316666.67
20220131,118-50020,209807.37,253333.33
20220131,118-50030,162663.38,190000
20220131,118-50040,183500.69,158333.33
20220131,118-50050,129092.99,126666.67
20220131,118-50060,126122.46,95000
20220131,118-50070,129911.2,114000
20220131,118-50080,77660.01,76000
20220131,118-60010,-41892.58,-48000
20220131,118-60020,-37840.42,-36000
20220131,118-60030,-25486.58,-24000
20220131,118-60040,-17969.07,-18000
20220131,118-60050,-16700.97,-15000
20220131,118-70010,-13080.17,-12666.67
20220131,118-70020,-9616.51,-9500
20220131,118-70030,-12587.04,-11400
20220131,118-70040,-14522.25,-13933.33
20220131,118-70050,-19909.24,-19000
20220131,118-70060,-33803,-31666.67
20220131,118-70070,-5049.57,-5066.67
20220131,118-70080,-8876.67,-7600
20220131,118-70090,-6113.32,-5700
20220131,118-70100,-5083.55,-4750
20220131,118-80010,-9541.05,-10000
20220131,118-80020,-15124.87,-13333.33
20220131,118-80030,-7102.53,-6666.67
20220131,118-80040,5183.36,5000
20220131,118-80050,3135.19,3333.33
20220131,118-90010,-27835.24,-26666.67
20220131,118-90020,-7004.83,-6666.67
20220131,118-90030,-3166.39,-3333.33
20220131,119-50010,378193.69,316666.67
20220131,119-50020,257936.1,253333.33
20220131,119-50030,125256.07,190000
20220131,119-50040,117036.13,158333.33
20220131,119-50050,152012.94,126666.67
20220131,119-50060,112530.69,95000
20220131,119-50070,145908.72,114000
20220131,119-50080,85237.57,76000
20220131,119-60010,-51541.05,-48000
20220131,119-60020,-36376.79,-36000
20220131,119-60030,-27218.04,-24000
20220131,119-60040,-20112.47,-18000
20220131,119-60050,-14228.47,-15000
20220131,119-70010,-13057.59,-12666.67
20220131,119-70020,-10156.73,-9500
20220131,119-70030,-12142.79,-11400
20220131,119-70040,-13328.92,-13933.33
20220131,119-70050,-19934.42,-19000
20220131,119-70060,-31941.6,-31666.67
20220131,119-70070,-5535.35,-5066.67
20220131,119-70080,-8552.57,-7600
20220131,119-70090,-6064.13,-5700
20220131,119-70100,-4716.63,-4750
20220131,119-80010,-10910.17,-10000
20220131,119-80020,-13993.39,-13333.33
20220131,119-80030,-7259.71,-6666.67
20220131,119-80040,4751.34,5000
20220131,119-80050,3393.53,3333.33
20220131,119-90010,-26513.47,-26666.67
20220131,119-90020,-7491.21,-6666.67
20220131,119-90030,-2854.29,-3333.33
20220131,120-50010,358347.61,316666.67
20220131,120-50020,203527.1,253333.33
20220131,120-50030,177372.24,190000
20220131,120-50040,200678.76,158333.33
20220131,120-50050,162236.05,126666.67
20220131,120-50060,103886.57,95000
20220131,120-50070,134801.35,114000
20220131,120-50080,92752.71,76000
20220131,120-60010,-57367.82,-48000
20220131,120-60020,-39621.51,-36000
20220131,120-60030,-28082.75,-24000
20220131,120-60040,-19991.8,-18000
20220131,120-60050,-18137.79,-15000
20220131,120-70010,-12685.66,-12666.67
20220131,120-70020,-9614.78,-9500
20220131,120-70030,-11377.58,-11400
20220131,120-70040,-15165.47,-13933.33
20220131,120-70050,-21878.86,-19000
20220131,120-70060,-31835.29,-31666.67
20220131,120-70070,-5485.27,-5066.67
20220131,120-70080,-7200.71,-7600
20220131,120-70090,-5791.53,-5700
20220131,120-70100,-4819.08,-4750
20220131,120-80010,-10523.9,-10000
20220131,120-80020,-12767.05,-13333.33
20220131,120-80030,-6123.48,-6666.67
20220131,120-80040,4731.34,5000
20220131,120-80050,2854.58,3333.33
20220131,120-90010,-25780.03,-26666.67
20220131,120-90020,-6480.39,-6666.67
20220131,120-90030,-3307.9,-3333.33
20220131,121-50010,328997.13,316666.67
20220131,121-50020,210162.11,253333.33
20220131,121-50030,223174.97,190000
20220131,121-50040,156990.29,158333.33
20220131,121-50050,121946.11,126666.67
20220131,121-50060,92821.71,95000
20220131,121-50070,96179.99,114000
20220131,121-50080,80473.57,76000
20220131,121-60010,-55492.18,-48000
20220131,121-60020,-34789.3,-36000
20220131,121-60030,-24931.27,-24000
20220131,121-60040,-18828.55,-18000
20220131,121-60050,-19265.34,-15000
20220131,121-70010,-13702.65,-12666.67
20220131,121-70020,-10606.75,-9500
20220131,121-70030,-11041.66,-11400
20220131,121-70040,-13204.87,-13933.33
20220131,121-70050,-19728.86,-19000
20220131,121-70060,-35244.31,-31666.67
20220131,121-70070,-5051.23,-5066.67
20220131,121-70080,-8527.39,-7600
20220131,121-70090,-6210.82,-5700
20220131,121-70100,-5333.3,-4750
20220131,121-80010,-9925.31,-10000
20220131,121-80020,-14607.97,-13333.33
20220131,121-80030,-7414.36,-6666.67
20220131,121-80040,4959.71,5000
20220131,121-80050,3606.79,3333.33
20220131,121-90010,-23470.85,-26666.67
20220131,121-90020,-6784.64,-6666.67
20220131,121-90030,-3211.67,-3333.33
20220131,122-50010,323209.59,316666.67
20220131,122-50020,259356.28,253333.33
20220131,122-50030,178870.52,190000
20220131,122-50040,170109.53,158333.33
20220131,122-50050,128603.36,126666.67
20220131,122-50060,111599.32,95000
20220131,122-50070,117771.11,114000
20220131,122-50080,84337.57,76000
20220131,122-60010,-50960.49,-48000
20220131,122-60020,-39972.58,-36000
20220131,122-60030,-28239.81,-24000
20220131,122-60040,-22137.32,-18000
20220131,122-60050,-18475.75,-15000
20220131,122-70010,-13648.85,-12666.67
20220131,122-70020,-10494.49,-9500
20220131,122-70030,-11355.15,-11400
20220131,122-70040,-15875.69,-13933.33
20220131,122-70050,-20659.79,-19000
20220131,122-70060,-34612.37,-31666.67
20220131,122-70070,-5118.52,-5066.67
20220131,122-70080,-7684.71,-7600
20220131,122-70090,-6259.71,-5700
20220131,122-70100,-5192.95,-4750
20220131,122-80010,-10584.35,-10000
20220131,122-80020,-11770.18,-13333.33
20220131,122-80030,-6026.98,-6666.67
20220131,122-80040,4697.86,5000
20220131,122-80050,3119.29,3333.33
20220131,122-90010,-26497.58,-26666.67
20220131,122-90020,-6358.07,-6666.67
20220131,122-90030,-3037.11,-3333.33
20220131,123-50010,301398.35,316666.67
20220131,123-50020,297700.09,253333.33
20220131,123-50030,237843.62,190000
20220131,123-50040,147023.68,158333.33
20220131,123-50050,147390.07,126666.67
20220131,123-50060,96757.46,95000
20220131,123-50070,141473.55,114000
20220131,123-50080,71913.55,76000
20220131,123-60010,-51224.62,-48000
20220131,123-60020,-41599.65,-36000
20220131,123-60030,-26573.79,-24000
20220131,123-60040,-18457.64,-18000
20220131,123-60050,-17276.42,-15000
20220131,123-70010,-13245.29,-12666.67
20220131,123-70020,-10134.53,-9500
20220131,123-70030,-11344.42,-11400
20220131,123-70040,-12663.1,-13933.33
20220131,123-70050,-20234.82,-19000
20220131,123-70060,-32634.41,-31666.67
20220131,123-70070,-5073.29,-5066.67
20220131,123-70080,-8062.15,-7600
20220131,123-70090,-6457.42,-5700
20220131,123-70100,-5107.58,-4750
20220131,123-80010,-9749.17,-10000
20220131,123-80020,-12796.19,-13333.33
20220131,123-80030,-5916.09,-6666.67
20220131,123-80040,5037.2,5000
20220131,123-80050,3160.71,3333.33
20220131,123-90010,-28042.38,-26666.67
20220131,123-90020,-6272.83,-6666.67
20220131,123-90030,-3305.1,-3333.33
20220131,124-50010,278130.15,316666.67
20220131,124-50020,220641.68,253333.33
20220131,124-50030,233369.12,190000
20220131,124-50040,158101.78,158333.33
20220131,124-50050,116981.16,126666.67
20220131,124-50060,81767.02,95000
20220131,124-50070,94237.58,114000
20220131,124-50080,74300.07,76000
20220131,124-60010,-49658.5,-48000
20220131,124-60020,-37828.09,-36000
20220131,124-60030,-26494.39,-24000
20220131,124-60040,-20570.26,-18000
